Time to main (us),Time to first frame (us),Avg build (us),Avg draw (us),Avg frame (us)
403000,459000,180,8500,8680
479000,534000,154,8509,8663
550000,607000,159,8468,8627
599000,656000,169,8540,8709
706000,761000,177,8527,8704
818000,874000,154,8559,8713
929000,983000,157,8482,8639
982000,1038000,164,8458,8622
1005000,1060000,142,8477,8619
1027000,1081000,135,8488,8623
62000,118000,188,8446,8634
94000,149000,179,8491,8670
162000,216000,142,8539,8681
250000,305000,159,8468,8627
300000,354000,151,8473,8624
335000,388000,181,8419,8600
336000,390000,155,8470,8625
351000,405000,153,8433,8586
352000,406000,149,8534,8683
431000,485000,144,8517,8661
493000,546000,147,8518,8665
549000,605000,146,8493,8639
609000,662000,135,8517,8652
679000,735000,147,8509,8656
749000,803000,139,8546,8685
842000,895000,146,8599,8745
985000,1038000,155,8491,8646
1034000,1087000,145,8513,8658
104000,158000,149,8515,8664
169000,223000,195,8422,8617
180000,233000,163,8508,8671
231000,285000,136,8532,8668
313000,368000,158,8561,8719
410000,463000,145,8471,8616
436000,495000,133,8488,8621
465000,519000,182,8445,8627
486000,539000,158,8445,8603
490000,544000,164,8444,8608
496000,550000,143,8523,8666
585000,639000,154,8499,8653
650000,707000,132,8479,8611
667000,720000,158,8433,8591
677000,733000,151,8504,8655
743000,798000,165,8504,8669
815000,869000,170,8485,8655
867000,924000,130,8534,8664
918000,971000,148,8494,8642
969000,1026000,153,8510,8663
1038000,1092000,137,8472,8609
57000,111000,140,8472,8612
